county,confirmed,deaths,state,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_uninsured,percent_some_college,percent_unemployed,percent_children_in_poverty,percent_single_parent_households,percent_severe_housing_problems,overcrowding,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,percent_uninsured_2,median_household_income,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,population_2,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_asian,percent_hispanic,percent_female,percent_rural
DeKalb,500,8,Georgia,16.292444155,15.818432089,26.3,92.921737899,16.252235356,15.916535766,70.896944919,4.0197976221,23.4,44.827204962,19.798453332,2.6780605747,8.5,17.9,39.019917656,19.374763382,63477,991.94603838,54.306462123,756558,23.123408912,12.440553137,53.725028352,6.5701506031,8.5994728758,52.710829837,0.2630464537
DeKalb,19,0,Illinois,15.743360243,15.89541067,31.7,84.329593001,23.185726850000002,6.307213369,74.648266318,4.3974264242,13.2,33.910469185,19.376421785,2.7137695705,5.6,12.6,29.039625514,7.7646288414,63274,114.82800331,56.966289155,104143,21.405183258,12.647993624,7.7374379459,2.8268822677,11.446760704,50.474827881,20.305249144
DeKalb,5,0,Tennessee,21.642022979,22.692190626,30.1,33.86209475,14.684176369,14.324188901,38.083538084,4.4372574386,24.4,34.184533847,11.793440335,3.1402651779,17.1,12.9,34.846347409,17.635066259,47420,61.129437553,68.959529852,20138,21.605919158,18.368259013,1.4251663522,1.1669480584,8.6056212136,50.039725891,78.368851146
DeSoto,11,1,Florida,26.088680623,21.3119303,31.6,55.75411623,17.393288426,23.070258349,21.14237891,3.840917234,34.5,36.522486394,18.126094571,7.2679509632,14.7,15.6,35.69807178,27.717449164,37233,116.16239505,69.881627209,37489,18.936221292,22.185174318,11.915495212,0.5975086025,31.876016965,43.370055216,46.242326889
DeSoto,118,1,Mississippi,17.53926756,15.317170828,35.3,70.392925359,15.58458338,10.445244846,66.61252707,3.7608357413,12.6,31.380835596,12.298803137,2.1626083368,12,12.6,31.817534068,13.324873096,68126,170.83090093,73.686330101,182001,25.664144703,12.894434646,28.705886231,1.4939478355,5.0922797127,51.761254059,20.428893905
DeWitt,6,0,Texas,21.848624732,15.261431491,26.6,60.113449769,17.398652838,17.878272696,43.746452223,3.1479967294,25.2,28.91646355,13.230119634,3.4342012667,15.3,14.3,31.570713673,21.099931621,49208,84.174276269999993,75.183408578,20187,22.430276911,19.928666964,8.4212612077,0.3566651806,35.537722297,47.481052162,49.624322038
Dearborn,30,1,Indiana,15.719527117,20.087382123,33.7,68.693428178,18.404846591,7.3012465543,58.242343542,3.6353895607,12,29.836767461,9.7907725322,1.4484978541,8.4,10.8,32.9927153,8.2375414726,66502,121.70561423,78.861003861,49568,22.316817301,17.711023241,0.6415429309,0.4559393157,1.3315041963,50.272353131,53.058125362
Decatur,16,0,Georgia,20.259666104,19.14172658,27.1,61.963939372,13.981891473,17.688192228,49.469375379,4.6662626612,35.7,48.439661799,19.875478927,7.2796934866,14.7,18.9,38.399967793,21.941348195,38441,96.709618084,56.7418497,26575,24.477892756,16.20696143,41.956726246,0.6208842897,6.2577610536,51.619943556,56.475827886
Decatur,79,4,Indiana,16.792071784,18.441405072,33.5,66.142191142,18.373241663,8.1271129141,65.280632411,2.9932518207,15.4,32.419304293,8.6956521739,1.8774703557,12,11.5,34.90351525,9.1450662273,57441,125.00499777,69.055155875,26794,24.464432336,16.738822124,0.5598268269,1.3286556692,2.0900201538,50.339628275,53.795648796
Defiance,7,0,Ohio,15.867334277,17.536359122,32.2,64.049491508,17.39955579,6.7487668638,58.627211036,4.4190665343,14,34.78609014,10.988296489,1.5604681404,13.6,10.7,34.134144685,7.7153626084,56740,6.046954609,77.059094196,38165,22.882221931,18.603432464,1.6350058955,0.5135595441,10.263330276,50.394340364,43.850705741
Delaware,33,1,Indiana,20.844891166,20.964426575,34.1,77.043621623,15.489547633,9.0132266715,65.119973928,4.0122601968,27,37.619853356,16.191302462,0.9326537252,10.8,16.1,34.070230514,10.258078829,43096,124.54240954,64.499869645,114772,18.361621301,17.140069006,6.9520440526,1.3705433381,2.5633429756,51.745199177,22.811907777
Delaware,26,1,New York,15.393145055,15.84691835,29.9,61.444351813,19.070495243,6.6193488659,54.384959303,4.8222822698,26.2,40.652857892,16.954557534,3.6141376561,9.1,11.6,32.00070077,7.7437169842,47382,48.180260641,74.261692065,44527,16.511330204,24.484020931,1.7203045343,1.0398185371,3.9908370202,49.477844903,78.363901626
Delaware,69,1,Ohio,12.570631664,15.015131326,27,95.560632326,19.170936429,4.3558866746,85.067864231,3.3647100365,3.8,15.70879048,9.8279359832,0.7648959351,8.4,8.1,30.844112778,4.907289136,103536,85.58347331,81.283048551,204826,26.274984621,13.700409128,3.6172165643,7.1197016004,2.71840489,50.414986379,19.31015877
Delaware,11,0,Oklahoma,22.107340056,20.994549533,36.9,46.802612867,11.368756875,23.904156971,43.012790147,3.9025740382,33.6,34.462151394,14.757575758,2.9090909091,11.8,15.6,33.842737919,28.795856342,40287,15.605022964,75.787377821,42733,20.01965694,24.994734748,0.4235602462,1.2168581658,3.7324784125,50.740645403,81.116976402
Delaware,616,13,Pennsylvania,15.294496958,14.917709668,26.9,96.503804257,21.011484741,5.5536854806,69.957053851,4.0148970253,11.3,33.421441909,17.049751977,1.3309758853,10.1,12.3,38.482448631,6.5226139341,71961,505.73205319,69.125263438,564751,21.940288729,16.39784613,21.64847871,6.0842743085,3.9261550666,51.869762072,0.4638814696
Delta,5,0,Michigan,15.796926183,17.399183296,35.8,93.293587634,17.623050265,6.454699345,70.632368703,5.3141514974,17.4,38.246735204,13.721150806,1.4543155232,14.4,12.6,37.424793554,7.6541495114,49292,126.16343326,79.472067214,35857,19.669799481,24.165434922,0.3513958223,0.4880497532,1.3944278662,50.336057116,43.753540694
Denton,273,6,Texas,14.428852499,13.069650279,25.2,94.47642217,22.409273498,12.945109521,77.143764815,3.1746130416,8.1,22.215328557,14.313932052,2.5358365627,8.7,14.3,29.319281649,14.806648036,88384,348.47871828,64.482259488,859064,24.677556038,10.175493328,10.096453815,9.5002234991,19.524389335,50.792374026,6.9058305439
Denver,716,14,Colorado,15.084856657,14.664503351,16.6,99.453477251,26.609421093,10.741990131,74.816460986,3.1844618802,16.7,34.355279575,19.016615078,3.2874372932,5.1,11.9,27.691240526,12.413658793,68069,1028.7191892,49.627664273,716492,19.529317843,11.753934447,8.9499952547,4.0989990119,29.667044433,49.812419399,0
Deschutes,36,0,Oregon,12.975753235000001,13.575481588,22.9,90.399599323,20.922246919,7.6952822892,72.060954817,4.2152945988,11.5,26.414437572,19.932233353,2.2981732469,8.4,11.9,28.598436825,9.1050084231,67372,134.88036591,65.689724166,191996,20.1280235,20.004583429,0.4687597658,1.2557553282,8.0814183629,50.518760808,27.643549543
Dickson,22,0,Tennessee,19.145919265,21.30032911,26.7,68.211653848,14.538830025,10.880289658,47.815067967,3.0201470084,20.2,25.906183369,13.086092715,2.7284768212,14.5,11.5,35.647253736,13.630254727,56166,63.56355859,72.97396986,53446,23.090596116,16.193915354,3.9872020357,0.6436403098,3.7121580661,50.888747521,67.752587283
District of Columbia,902,21,District of Columbia,13.033793656,15.965592149,23.5,100,27.313018199,4.3005780747,81.197178746,5.5534959591,24.5,52.077048039,21.461245005,3.590735685,8.1,11,36.201313254,5.1831410155,82533,465.37923742,41.792323387,702455,18.149774719,12.14355368,44.890704743,4.416653024,11.281719114,52.551124271,0
Dodge,5,0,Georgia,20.770080711,19.20312436,34.4,54.551293815,14.756748953,16.613811404,46.933575978,5.1839464883,33.9,41.628077017,12.022542267,2.9304946775,16.5,17.3,35.677797766,19.739583333,35636,35.855464021,66.168442943,20705,19.376962086,18.048780488,29.509780246,0.540932142,3.6029944458,47.901473074,72.22884933
Dodge,10,0,Minnesota,10.656724626,13.878934841,36.9,65.076915418,21.625119188,4.3848278194,67.863483922,2.974480311,7.3,29.240622141,8.7673038893,1.2524719842,10.6,6.4,28.952740279,4.9765334196,75955,33.729590085,82.414732201,20822,25.785227164,14.715205072,0.5763135146,0.7588127942,5.0763615407,50.076841802,51.76482302
Dodge,6,0,Nebraska,13.446449058,17.399007275,35.2,90.098389251,22.082279166,10.716027025,61.642535011,2.7322968855,11.9,32.787074437,9.8572850979,1.7590441421,12,11.7,31.232652117,13.125124527,51682,42.985863043,62.476290143,36791,24.416297464,19.23568264,0.937729336,0.7474654127,13.367399636,50.376450762,25.128778174
Dodge,14,0,Wisconsin,11.9402166,15.475755585,33.8,83.358307327,27.922463117,5.5469770757,56.476397028,2.6230120057,10.8,30.071492404,12.327137546,1.3085501859,11.1,8.6,34.720619342,6.1764234804000004,63608,90.972903882,69.738477099,87847,19.84814507,17.64089838,3.2408619532,0.6784523091,4.8960123852,47.130806971,48.641827871
Dona Ana,22,0,New Mexico,25.121962458,16.428989415,28.4,78.032623917,16.239198778,11.54159132,61.118427518,5.6526366915,33.3,37.546122023,18.602480331,3.7071609548,8.7,15.5,31.297688142,14.291778123,38409,196.87445182,61.80909713,217522,24.471547706,15.785989463,1.6099520968,1.3405540589,68.573293736,50.918987505,19.290456094
Donley,5,0,Texas,16.672821332,13.943192478,28.4,77.8895839,18.083411784,20.412548346,53.549382716,3.3672172808,27.8,39.067055394,11.284046693,2.1789883268,11.5,16.9,29.525279914,22.85202864,40945,143.80089727,74.88372093,3319,19.70473034,23.983127448,5.664356734,0.7833684845,11.901175053,50.888821934,100
Dooly,15,1,Georgia,23.522594373,19.582000777,38.2,21.490816463,12.989418988,18.360726644,33.574111528,4.6150862905,38.2,43.588725685,19.552529183,4.280155642,16.1,18.9,40.147273107,22.00637866,37278,51.502779477,69.800452582,13706,17.189552021,20.122574055,48.934773092,0.7150153218,6.8729023785,45.636947322,53.666711355
Dorchester,45,0,South Carolina,16.386607352,17.119669006,31.5,72.244883014,18.942630578,11.319826101,66.945968024,3.02223051,17,34.677208231,14.328836902,1.4243939251,9.8,11.2,36.709265292,13.907125784,65468,36.433070543,71.372527452,160647,24.410041893,14.089276488,25.194370265,2.0019047975,5.5749562706,51.399030172,19.482992201
Dougherty,636,30,Georgia,25.38788847,21.607553194,37.3,80.151218738,11.706892085,14.427556285,59.016609544,5.1249967415,43.7,65.390300231,22.628360119,2.8872137676,15,25.5,46.707783456,18.236844674,38806,221.82741917,45.419781484,91243,23.258770536,15.373234111,70.255252458,1.0050086034,2.9284438258,54.113740232,13.959710252
